 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> June 04, 2018 
 ==================================================================

 Disk File Name = SRIM Outputs\25Mg_in_CD2.txt

 Ion = Magnesium [12] , Mass = 24.9858 amu

 Target Density =  9.1300E-01 g/cm3 = 1.0284E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    066.67    014.37   
      C      6    033.33    085.63   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   6.50 MeV   1.679E+03  5.783E+00    7.66 um     3127 A      3976 A   
   7.00 MeV   1.725E+03  5.439E+00    7.95 um     3162 A      4008 A   
   8.00 MeV   1.799E+03  4.868E+00    8.52 um     3275 A      4063 A   
   9.00 MeV   1.853E+03  4.413E+00    9.06 um     3376 A      4112 A   
  10.00 MeV   1.891E+03  4.040E+00    9.60 um     3468 A      4154 A   
  11.00 MeV   1.918E+03  3.729E+00   10.12 um     3555 A      4193 A   
  12.00 MeV   1.935E+03  3.466E+00   10.64 um     3637 A      4228 A   
  13.00 MeV   1.945E+03  3.240E+00   11.15 um     3716 A      4261 A   
  14.00 MeV   1.949E+03  3.043E+00   11.67 um     3792 A      4292 A   
  15.00 MeV   1.947E+03  2.870E+00   12.18 um     3867 A      4321 A   
  16.00 MeV   1.942E+03  2.717E+00   12.69 um     3940 A      4349 A   
  17.00 MeV   1.933E+03  2.580E+00   13.21 um     4013 A      4376 A   
  18.00 MeV   1.921E+03  2.457E+00   13.72 um     4084 A      4402 A   
  20.00 MeV   1.892E+03  2.246E+00   14.77 um     4354 A      4453 A   
  22.50 MeV   1.849E+03  2.030E+00   16.11 um     4756 A      4513 A   
  25.00 MeV   1.802E+03  1.855E+00   17.47 um     5145 A      4571 A   
  27.50 MeV   1.753E+03  1.709E+00   18.88 um     5525 A      4629 A   
  30.00 MeV   1.704E+03  1.585E+00   20.33 um     5900 A      4686 A   
  32.50 MeV   1.656E+03  1.479E+00   21.81 um     6272 A      4743 A   
