 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> June 15, 2018 
 ==================================================================

 Disk File Name = SRIM Outputs\1H_in_CD2.txt

 Ion = Hydrogen [1] , Mass = 1.008 amu

 Target Density =  9.1300E-01 g/cm3 = 1.0284E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    066.67    014.37   
      C      6    033.33    085.63   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   5.50 MeV   6.468E+00  3.214E-03  478.78 um    20.18 um    11.75 um  
   6.00 MeV   6.030E+00  2.972E-03  558.74 um    23.29 um    13.64 um  
   6.50 MeV   5.653E+00  2.766E-03  644.27 um    26.42 um    15.64 um  
   7.00 MeV   5.324E+00  2.587E-03  735.30 um    29.57 um    17.77 um  
   8.00 MeV   4.777E+00  2.294E-03  933.37 um    41.07 um    22.39 um  
   9.00 MeV   4.340E+00  2.063E-03    1.15 mm    51.84 um    27.48 um  
  10.00 MeV   3.982E+00  1.875E-03    1.39 mm    62.37 um    33.02 um  
  11.00 MeV   3.684E+00  1.721E-03    1.65 mm    72.89 um    39.01 um  
  12.00 MeV   3.430E+00  1.590E-03    1.93 mm    83.49 um    45.44 um  
  13.00 MeV   3.212E+00  1.479E-03    2.24 mm    94.22 um    52.30 um  
  14.00 MeV   3.022E+00  1.383E-03    2.56 mm   105.11 um    59.58 um  
  15.00 MeV   2.856E+00  1.299E-03    2.90 mm   116.18 um    67.29 um  
  16.00 MeV   2.708E+00  1.225E-03    3.26 mm   127.44 um    75.40 um  
  17.00 MeV   2.577E+00  1.160E-03    3.63 mm   138.89 um    83.92 um  
  18.00 MeV   2.458E+00  1.101E-03    4.03 mm   150.54 um    92.85 um  
  20.00 MeV   2.254E+00  1.000E-03    4.88 mm   193.91 um   111.89 um  
  22.50 MeV   2.046E+00  8.985E-04    6.04 mm   255.97 um   137.87 um  
  25.00 MeV   1.877E+00  8.163E-04    7.32 mm   314.88 um   166.20 um  
  27.50 MeV   1.736E+00  7.483E-04    8.70 mm   372.72 um   196.84 um  
  30.00 MeV   1.616E+00  6.912E-04   10.19 mm   430.38 um   229.72 um  
  32.50 MeV   1.514E+00  6.425E-04   11.79 mm   488.33 um   264.80 um  
  35.00 MeV   1.425E+00  6.004E-04   13.49 mm   546.82 um   302.03 um  
  37.50 MeV   1.347E+00  5.637E-04   15.29 mm   605.99 um   341.36 um  
  40.00 MeV   1.279E+00  5.314E-04   17.19 mm   665.94 um   382.76 um  
  45.00 MeV   1.163E+00  4.770E-04   21.29 mm   888.10 um   471.62 um  
  50.00 MeV   1.068E+00  4.331E-04   25.77 mm     1.10 mm   568.31 um  
  55.00 MeV   9.899E-01  3.969E-04   30.63 mm     1.30 mm   672.55 um  
  60.00 MeV   9.239E-01  3.664E-04   35.85 mm     1.50 mm   784.09 um  
  65.00 MeV   8.674E-01  3.404E-04   41.43 mm     1.70 mm   902.71 um  
  70.00 MeV   8.184E-01  3.180E-04   47.36 mm     1.91 mm     1.03 mm  
