 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> August 05, 2018 
 ==================================================================

 Disk File Name = SRIM Outputs\26Mg_in_CD2.txt

 Ion = Magnesium [12] , Mass = 25.98 amu

 Target Density =  9.1300E-01 g/cm3 = 1.0284E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    066.67    014.37   
      C      6    033.33    085.63   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   6.50 MeV   1.654E+03  5.983E+00    7.81 um     3183 A      4047 A   
   7.00 MeV   1.701E+03  5.628E+00    8.11 um     3219 A      4080 A   
   8.00 MeV   1.779E+03  5.038E+00    8.68 um     3333 A      4137 A   
   9.00 MeV   1.836E+03  4.567E+00    9.23 um     3434 A      4187 A   
  10.00 MeV   1.878E+03  4.181E+00    9.77 um     3526 A      4230 A   
  11.00 MeV   1.908E+03  3.860E+00   10.30 um     3613 A      4269 A   
  12.00 MeV   1.928E+03  3.588E+00   10.82 um     3695 A      4305 A   
  13.00 MeV   1.941E+03  3.353E+00   11.33 um     3773 A      4339 A   
  14.00 MeV   1.947E+03  3.150E+00   11.85 um     3849 A      4370 A   
  15.00 MeV   1.949E+03  2.971E+00   12.36 um     3922 A      4399 A   
  16.00 MeV   1.945E+03  2.812E+00   12.87 um     3995 A      4428 A   
  17.00 MeV   1.939E+03  2.671E+00   13.38 um     4066 A      4455 A   
  18.00 MeV   1.929E+03  2.544E+00   13.90 um     4136 A      4481 A   
  20.00 MeV   1.904E+03  2.326E+00   14.94 um     4400 A      4531 A   
  22.50 MeV   1.865E+03  2.103E+00   16.27 um     4793 A      4591 A   
  25.00 MeV   1.820E+03  1.921E+00   17.62 um     5172 A      4649 A   
  27.50 MeV   1.773E+03  1.770E+00   19.01 um     5542 A      4705 A   
  30.00 MeV   1.726E+03  1.642E+00   20.44 um     5907 A      4762 A   
  32.50 MeV   1.680E+03  1.532E+00   21.91 um     6269 A      4818 A   
  35.00 MeV   1.634E+03  1.437E+00   23.41 um     6630 A      4874 A   
  37.50 MeV   1.590E+03  1.354E+00   24.96 um     6991 A      4931 A   
  40.00 MeV   1.548E+03  1.280E+00   26.56 um     7353 A      4989 A   
  45.00 MeV   1.468E+03  1.155E+00   29.87 um     8735 A      5108 A   
  50.00 MeV   1.396E+03  1.054E+00   33.36 um     1.00 um     5232 A   
  55.00 MeV   1.348E+03  9.699E-01   37.00 um     1.13 um     5362 A   
  60.00 MeV   1.306E+03  8.988E-01   40.77 um     1.25 um     5496 A   
  65.00 MeV   1.254E+03  8.380E-01   44.68 um     1.37 um     5636 A   
  70.00 MeV   1.204E+03  7.853E-01   48.74 um     1.49 um     5783 A   
  80.00 MeV   1.117E+03  6.983E-01   57.37 um     1.92 um     6099 A   
  90.00 MeV   1.044E+03  6.296E-01   66.63 um     2.33 um     6445 A   
 100.00 MeV   9.817E+02  5.737E-01   76.50 um     2.72 um     6821 A   
 110.00 MeV   9.280E+02  5.274E-01   86.98 um     3.10 um     7228 A   
 120.00 MeV   8.811E+02  4.883E-01   98.03 um     3.47 um     7664 A   
 130.00 MeV   8.395E+02  4.549E-01  109.66 um     3.84 um     8129 A   
 140.00 MeV   8.023E+02  4.259E-01  121.84 um     4.21 um     8622 A   
 150.00 MeV   7.687E+02  4.006E-01  134.57 um     4.59 um     9143 A   
 160.00 MeV   7.383E+02  3.783E-01  147.84 um     4.96 um     9691 A   
 170.00 MeV   7.105E+02  3.585E-01  161.64 um     5.33 um     1.03 um  
 180.00 MeV   6.849E+02  3.407E-01  175.97 um     5.70 um     1.09 um  
 200.00 MeV   6.395E+02  3.101E-01  206.19 um     7.13 um     1.21 um  
 225.00 MeV   5.910E+02  2.792E-01  246.85 um     9.17 um     1.39 um  
 250.00 MeV   5.498E+02  2.541E-01  290.71 um    11.08 um     1.57 um  
 275.00 MeV   5.141E+02  2.333E-01  337.73 um    12.93 um     1.77 um  
 300.00 MeV   4.829E+02  2.158E-01  387.90 um    14.75 um     1.98 um  
 325.00 MeV   4.553E+02  2.009E-01  441.21 um    16.57 um     2.21 um  
 350.00 MeV   4.308E+02  1.880E-01  497.65 um    18.40 um     2.45 um  
 375.00 MeV   4.088E+02  1.767E-01  557.22 um    20.25 um     2.70 um  
 400.00 MeV   3.890E+02  1.667E-01  619.90 um    22.11 um     2.96 um  
 450.00 MeV   3.548E+02  1.499E-01  754.48 um    29.19 um     3.52 um  
 500.00 MeV   3.264E+02  1.364E-01  901.40 um    35.85 um     4.14 um  
 550.00 MeV   3.025E+02  1.251E-01    1.06 mm    42.34 um     4.80 um  
 600.00 MeV   2.822E+02  1.157E-01    1.23 mm    48.79 um     5.50 um  
 650.00 MeV   2.647E+02  1.076E-01    1.41 mm    55.25 um     6.26 um  
 700.00 MeV   2.495E+02  1.006E-01    1.61 mm    61.74 um     7.06 um  
 800.00 MeV   2.245E+02  8.916E-02    2.03 mm    85.98 um     8.79 um  
 900.00 MeV   2.040E+02  8.013E-02    2.50 mm   108.49 um    10.69 um  
   1.00 GeV   1.873E+02  7.282E-02    3.01 mm   130.45 um    12.76 um  
   1.10 GeV   1.734E+02  6.678E-02    3.57 mm   152.28 um    14.99 um  
   1.20 GeV   1.617E+02  6.170E-02    4.16 mm   174.18 um    17.39 um  
   1.30 GeV   1.516E+02  5.737E-02    4.80 mm   196.27 um    19.94 um  
   1.40 GeV   1.429E+02  5.362E-02    5.48 mm   218.59 um    22.65 um  
   1.50 GeV   1.352E+02  5.035E-02    6.20 mm   241.17 um    25.51 um  
   1.60 GeV   1.285E+02  4.748E-02    6.96 mm   264.02 um    28.51 um  
   1.70 GeV   1.225E+02  4.492E-02    7.76 mm   287.16 um    31.66 um  
   1.80 GeV   1.171E+02  4.264E-02    8.59 mm   310.57 um    34.94 um  
   2.00 GeV   1.078E+02  3.873E-02   10.37 mm   399.99 um    41.93 um  
   2.25 GeV   9.843E+01  3.478E-02   12.80 mm   527.32 um    51.40 um  
   2.50 GeV   9.082E+01  3.158E-02   15.44 mm   646.70 um    61.65 um  
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  1.0000E-01                 eV / Angstrom 
  1.0000E+00                keV / micron   
  1.0000E+00                MeV / mm       
  1.0953E-02                keV / (ug/cm2) 
  1.0953E-02                MeV / (mg/cm2) 
  1.0953E+01                keV / (mg/cm2) 
  9.7235E-02                 eV / (1E15 atoms/cm2)
  1.1590E-03                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
