 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> June 15, 2018 
 ==================================================================

 Disk File Name = SRIM Outputs\209Pb_in_CD2.txt

 Ion = Lead [82] , Mass = 208.9 amu

 Target Density =  9.1300E-01 g/cm3 = 1.0284E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    066.67    014.37   
      C      6    033.33    085.63   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   9.00 MeV   1.915E+03  5.983E+02    3.66 um     1966 A      1919 A   
  10.00 MeV   1.958E+03  5.627E+02    4.06 um     2126 A      2075 A   
  11.00 MeV   2.000E+03  5.317E+02    4.45 um     2276 A      2226 A   
  12.00 MeV   2.044E+03  5.044E+02    4.84 um     2415 A      2372 A   
  13.00 MeV   2.090E+03  4.802E+02    5.23 um     2546 A      2513 A   
  14.00 MeV   2.139E+03  4.585E+02    5.62 um     2669 A      2649 A   
  15.00 MeV   2.191E+03  4.389E+02    6.00 um     2785 A      2780 A   
  16.00 MeV   2.247E+03  4.212E+02    6.38 um     2894 A      2907 A   
  17.00 MeV   2.307E+03  4.050E+02    6.75 um     2997 A      3028 A   
  18.00 MeV   2.370E+03  3.902E+02    7.11 um     3093 A      3145 A   
  20.00 MeV   2.507E+03  3.640E+02    7.82 um     3345 A      3365 A   
  22.50 MeV   2.695E+03  3.364E+02    8.66 um     3652 A      3615 A   
  25.00 MeV   2.900E+03  3.132E+02    9.46 um     3908 A      3839 A   
  27.50 MeV   3.117E+03  2.933E+02   10.21 um     4124 A      4040 A   
  30.00 MeV   3.344E+03  2.761E+02   10.92 um     4308 A      4220 A   
  32.50 MeV   3.577E+03  2.610E+02   11.59 um     4466 A      4381 A   
  35.00 MeV   3.814E+03  2.476E+02   12.22 um     4603 A      4526 A   
  37.50 MeV   4.052E+03  2.357E+02   12.82 um     4723 A      4656 A   
  40.00 MeV   4.290E+03  2.250E+02   13.39 um     4829 A      4775 A   
  45.00 MeV   4.760E+03  2.066E+02   14.44 um     5116 A      4981 A   
  50.00 MeV   5.215E+03  1.913E+02   15.40 um     5345 A      5153 A   
  55.00 MeV   5.651E+03  1.783E+02   16.29 um     5532 A      5301 A   
  60.00 MeV   6.066E+03  1.671E+02   17.12 um     5689 A      5428 A   
  65.00 MeV   6.458E+03  1.573E+02   17.90 um     5824 A      5540 A   
  70.00 MeV   6.829E+03  1.488E+02   18.63 um     5941 A      5638 A   
  80.00 MeV   7.506E+03  1.344E+02   20.00 um     6288 A      5806 A   
  90.00 MeV   8.104E+03  1.228E+02   21.26 um     6568 A      5944 A   
 100.00 MeV   8.631E+03  1.132E+02   22.43 um     6801 A      6061 A   
 110.00 MeV   9.093E+03  1.051E+02   23.55 um     7003 A      6162 A   
 120.00 MeV   9.498E+03  9.822E+01   24.61 um     7180 A      6250 A   
 130.00 MeV   9.851E+03  9.223E+01   25.63 um     7341 A      6329 A   
 140.00 MeV   1.016E+04  8.700E+01   26.62 um     7487 A      6401 A   
 150.00 MeV   1.043E+04  8.237E+01   27.59 um     7622 A      6466 A   
 160.00 MeV   1.067E+04  7.825E+01   28.53 um     7749 A      6526 A   
 170.00 MeV   1.087E+04  7.456E+01   29.45 um     7868 A      6582 A   
 180.00 MeV   1.105E+04  7.122E+01   30.35 um     7981 A      6634 A   
 200.00 MeV   1.134E+04  6.545E+01   32.13 um     8382 A      6729 A   
 225.00 MeV   1.161E+04  5.951E+01   34.29 um     8941 A      6834 A   
 250.00 MeV   1.180E+04  5.463E+01   36.42 um     9446 A      6929 A   
 275.00 MeV   1.193E+04  5.055E+01   38.52 um     9913 A      7016 A   
 300.00 MeV   1.201E+04  4.708E+01   40.60 um     1.04 um     7096 A   
 325.00 MeV   1.207E+04  4.409E+01   42.66 um     1.08 um     7171 A   
 350.00 MeV   1.210E+04  4.148E+01   44.72 um     1.12 um     7243 A   
 375.00 MeV   1.211E+04  3.918E+01   46.78 um     1.15 um     7310 A   
 400.00 MeV   1.210E+04  3.714E+01   48.84 um     1.19 um     7375 A   
 450.00 MeV   1.226E+04  3.368E+01   52.93 um     1.33 um     7498 A   
 500.00 MeV   1.236E+04  3.085E+01   56.98 um     1.45 um     7611 A   
 550.00 MeV   1.228E+04  2.849E+01   61.03 um     1.56 um     7718 A   
 600.00 MeV   1.220E+04  2.648E+01   65.11 um     1.66 um     7821 A   
 650.00 MeV   1.212E+04  2.476E+01   69.21 um     1.76 um     7921 A   
 700.00 MeV   1.204E+04  2.326E+01   73.34 um     1.85 um     8018 A   
 800.00 MeV   1.189E+04  2.078E+01   81.68 um     2.20 um     8205 A   
 900.00 MeV   1.175E+04  1.880E+01   90.12 um     2.50 um     8386 A   
   1.00 GeV   1.161E+04  1.719E+01   98.67 um     2.78 um     8563 A   
   1.10 GeV   1.148E+04  1.585E+01  107.32 um     3.04 um     8736 A   
   1.20 GeV   1.135E+04  1.471E+01  116.08 um     3.28 um     8907 A   
   1.30 GeV   1.122E+04  1.374E+01  124.93 um     3.51 um     9076 A   
   1.40 GeV   1.109E+04  1.289E+01  133.88 um     3.74 um     9244 A   
   1.50 GeV   1.097E+04  1.215E+01  142.94 um     3.95 um     9411 A   
   1.60 GeV   1.085E+04  1.149E+01  152.09 um     4.16 um     9578 A   
   1.70 GeV   1.073E+04  1.090E+01  161.36 um     4.36 um     9745 A   
   1.80 GeV   1.061E+04  1.038E+01  170.72 um     4.56 um     9911 A   
   2.00 GeV   1.037E+04  9.475E+00  189.77 um     5.29 um     1.02 um  
   2.25 GeV   1.009E+04  8.555E+00  214.19 um     6.32 um     1.07 um  
   2.50 GeV   9.814E+03  7.806E+00  239.30 um     7.25 um     1.11 um  
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  1.0000E-01                 eV / Angstrom 
  1.0000E+00                keV / micron   
  1.0000E+00                MeV / mm       
  1.0953E-02                keV / (ug/cm2) 
  1.0953E-02                MeV / (mg/cm2) 
  1.0953E+01                keV / (mg/cm2) 
  9.7235E-02                 eV / (1E15 atoms/cm2)
  2.4581E-04                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
