 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> June 04, 2018 
 ==================================================================

 Disk File Name = SRIM Outputs\15C_in_CD2.txt

 Ion = Carbon [6] , Mass = 15.011 amu

 Target Density =  9.1300E-01 g/cm3 = 1.0284E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    066.67    014.37   
      C      6    033.33    085.63   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
 900.00 keV   4.535E+02  5.350E+00    2.87 um     1637 A      2053 A   
   1.00 MeV   4.768E+02  4.919E+00    3.08 um     1687 A      2118 A   
   1.10 MeV   4.992E+02  4.557E+00    3.28 um     1731 A      2176 A   
   1.20 MeV   5.206E+02  4.248E+00    3.48 um     1769 A      2227 A   
   1.30 MeV   5.412E+02  3.982E+00    3.66 um     1804 A      2274 A   
   1.40 MeV   5.609E+02  3.749E+00    3.84 um     1836 A      2317 A   
   1.50 MeV   5.799E+02  3.544E+00    4.02 um     1864 A      2357 A   
   1.60 MeV   5.980E+02  3.363E+00    4.19 um     1890 A      2393 A   
   1.70 MeV   6.153E+02  3.200E+00    4.35 um     1915 A      2426 A   
   1.80 MeV   6.318E+02  3.053E+00    4.51 um     1937 A      2458 A   
   2.00 MeV   6.623E+02  2.799E+00    4.81 um     2001 A      2515 A   
   2.25 MeV   6.960E+02  2.540E+00    5.18 um     2084 A      2577 A   
   2.50 MeV   7.249E+02  2.327E+00    5.53 um     2156 A      2632 A   
   2.75 MeV   7.494E+02  2.150E+00    5.87 um     2221 A      2680 A   
   3.00 MeV   7.700E+02  1.999E+00    6.20 um     2280 A      2725 A   
   3.25 MeV   7.871E+02  1.869E+00    6.52 um     2334 A      2765 A   
   3.50 MeV   8.012E+02  1.756E+00    6.83 um     2385 A      2803 A   
   3.75 MeV   8.127E+02  1.657E+00    7.14 um     2433 A      2838 A   
   4.00 MeV   8.220E+02  1.570E+00    7.44 um     2478 A      2871 A   
   4.50 MeV   8.351E+02  1.421E+00    8.04 um     2634 A      2932 A   
   5.00 MeV   8.426E+02  1.299E+00    8.64 um     2777 A      2988 A   
   5.50 MeV   8.459E+02  1.198E+00    9.23 um     2910 A      3039 A   
   6.00 MeV   8.460E+02  1.112E+00    9.82 um     3037 A      3088 A   
   6.50 MeV   8.438E+02  1.039E+00   10.41 um     3159 A      3135 A   
   7.00 MeV   8.397E+02  9.751E-01   11.00 um     3277 A      3179 A   
   8.00 MeV   8.273E+02  8.695E-01   12.20 um     3704 A      3265 A   
   9.00 MeV   8.112E+02  7.857E-01   13.42 um     4099 A      3346 A   
  10.00 MeV   7.928E+02  7.174E-01   14.67 um     4473 A      3425 A   
  11.00 MeV   7.731E+02  6.606E-01   15.94 um     4835 A      3503 A   
  12.00 MeV   7.529E+02  6.126E-01   17.25 um     5189 A      3580 A   
  13.00 MeV   7.326E+02  5.715E-01   18.60 um     5537 A      3657 A   
  14.00 MeV   7.126E+02  5.359E-01   19.98 um     5883 A      3735 A   
  15.00 MeV   6.929E+02  5.046E-01   21.40 um     6227 A      3814 A   
  16.00 MeV   6.739E+02  4.770E-01   22.86 um     6572 A      3894 A   
