47.2397250	-1.5952032	 0.3703412	-0.2755536	 0.0802273	-0.0110227	 0.0005572	
44.3089309	-0.7940769	-1.2221817	 0.7917478	-0.2621630	 0.0409790	-0.0024596	
43.8848873	-1.8299075	 0.1098998	 0.1275853	-0.1336015	 0.0368791	-0.0033513	
40.6076014	-0.9080494	-1.3295376	 0.9658054	-0.3739373	 0.0681998	-0.0047350	
40.1987165	-1.7815543	-0.0827004	 0.0915084	-0.0616062	 0.0129306	-0.0009014	
38.2679444	-7.2724551	 7.9589689	-5.8571667	 2.1816862	-0.4027688	 0.0290322	
36.2763132	-2.3615363	 1.1136679	-1.2365223	 0.5441967	-0.1116733	 0.0085907	
32.5480849	-1.0226505	-4.0616403	 4.7920160	-2.5673994	 0.5898460	-0.0481830	
31.8540633	-1.2720637	-3.2187059	 2.9937005	-1.3087776	 0.2601656	-0.0195953	
27.7693709	-2.7647245	-0.7818912	 1.0974042	-0.8487684	 0.2724001	-0.0327719	
26.8752646	-2.3751343	-1.9056726	 2.2581994	-1.5136180	 0.4680752	-0.0563122	
21.8185745	-3.5207683	-1.4881370	 2.3522910	-3.0631867	 1.7920857	-0.4180768	
