            angle	  Ex=0.000(1d5/2)	  Ex=1.808(1s1/2)	  Ex=1.808(0d5/2)	  Ex=2.937(1s1/2)	  Ex=2.937(0d5/2)	  Ex=3.938(1s1/2)	  Ex=3.938(0d3/2)	  Ex=3.938(0d5/2)	  Ex=4.319(0d3/2)	  Ex=4.319(0d5/2)	  Ex=4.835(1s1/2)	  Ex=4.835(0d5/2)	  Ex=5.291(1s1/2)	  Ex=5.291(0d5/2)	
             17.40          0.058657          0.686910          0.460360          0.960970          0.632630          1.816500          1.112900          1.201900          1.617800          1.744700          1.690200          1.147100          1.929100          1.336200
             17.50          0.059103          0.654180          0.463400          0.918590          0.636170          1.742900          1.118000          1.207300          1.624500          1.751700          1.627700          1.151000          1.861500          1.339900
             17.60          0.059549          0.622710          0.466420          0.877790          0.639690          1.672000          1.123200          1.212600          1.631200          1.758700          1.567400          1.154900          1.796300          1.343600
             17.70          0.059994          0.592500          0.469430          0.838570          0.643180          1.603700          1.128200          1.217900          1.637800          1.765600          1.509400          1.158600          1.733400          1.347200
             17.80          0.060437          0.563530          0.472420          0.800910          0.646640          1.538100          1.133300          1.223200          1.644300          1.772400          1.453500          1.162300          1.672900          1.350700
             17.90          0.060879          0.535780          0.475400          0.764800          0.650080          1.475100          1.138200          1.228400          1.650700          1.779100          1.399800          1.166000          1.614700          1.354100
             18.00          0.061320          0.509260          0.478350          0.730210          0.653490          1.414700          1.143200          1.233500          1.657000          1.785700          1.348300          1.169600          1.558800          1.357400
             18.10          0.061759          0.483930          0.481290          0.697140          0.656860          1.356900          1.148000          1.238500          1.663300          1.792200          1.298800          1.173100          1.505200          1.360700
             18.20          0.062195          0.459800          0.484210          0.665570          0.660200          1.301600          1.152800          1.243500          1.669400          1.798600          1.251500          1.176500          1.453800          1.363900
             18.30          0.062630          0.436840          0.487110          0.635470          0.663510          1.248700          1.157500          1.248400          1.675500          1.804900          1.206200          1.179900          1.404600          1.367000
             18.40          0.063062          0.415040          0.489980          0.606840          0.666780          1.198400          1.162200          1.253300          1.681400          1.811100          1.163000          1.183200          1.357600          1.370000
             18.50          0.063492          0.394390          0.492820          0.579650          0.670010          1.150500          1.166800          1.258000          1.687300          1.817100          1.121800          1.186400          1.312800          1.372900
             18.60          0.063918          0.374880          0.495640          0.553880          0.673200          1.105000          1.171300          1.262700          1.693100          1.823100          1.082700          1.189500          1.270100          1.375700
             18.70          0.064342          0.356480          0.498440          0.529530          0.676350          1.061900          1.175700          1.267300          1.698700          1.828900          1.045400          1.192600          1.229500          1.378500
             18.80          0.064762          0.339190          0.501200          0.506560          0.679460          1.021100          1.180100          1.271800          1.704200          1.834600          1.010200          1.195600          1.191000          1.381100
             18.90          0.065179          0.322990          0.503930          0.484960          0.682530          0.982670          1.184400          1.276200          1.709700          1.840200          0.976830          1.198500          1.154600          1.383700
             19.00          0.065592          0.307850          0.506630          0.464710          0.685550          0.946510          1.188600          1.280600          1.715000          1.845700          0.945380          1.201300          1.120200          1.386100
             19.10          0.066001          0.293780          0.509300          0.445790          0.688520          0.912590          1.192800          1.284800          1.720100          1.851000          0.915790          1.204000          1.087700          1.388500
             19.20          0.066406          0.280750          0.511930          0.428190          0.691440          0.880890          1.196800          1.289000          1.725200          1.856200          0.888030          1.206700          1.057300          1.390700
             19.30          0.066807          0.268740          0.514530          0.411870          0.694310          0.851370          1.200800          1.293000          1.730200          1.861300          0.862090          1.209200          1.028700          1.392900
             19.40          0.067203          0.257730          0.517090          0.396820          0.697140          0.824000          1.204600          1.297000          1.735000          1.866200          0.837920          1.211700          1.002100          1.395000
             19.50          0.067595          0.247720          0.519610          0.383020          0.699900          0.798740          1.208400          1.300800          1.739600          1.870900          0.815510          1.214000          0.977330          1.396900
             19.60          0.067981          0.238690          0.522090          0.370450          0.702620          0.775560          1.212100          1.304600          1.744200          1.875600          0.794810          1.216300          0.954400          1.398700
             19.70          0.068363          0.230610          0.524540          0.359090          0.705280          0.754420          1.215700          1.308300          1.748600          1.880100          0.775810          1.218500          0.933280          1.400500
             19.80          0.068739          0.223470          0.526940          0.348910          0.707880          0.735280          1.219200          1.311800          1.752900          1.884400          0.758470          1.220600          0.913930          1.402100
             19.90          0.069110          0.217250          0.529290          0.339890          0.710420          0.718110          1.222600          1.315300          1.757000          1.888600          0.742760          1.222600          0.896320          1.403600
             20.00          0.069476          0.211940          0.531610          0.332010          0.712900          0.702870          1.225900          1.318600          1.761000          1.892600          0.728650          1.224500          0.880430          1.405000
             20.10          0.069835          0.207520          0.533870          0.325260          0.715330          0.689530          1.229100          1.321800          1.764900          1.896400          0.716110          1.226300          0.866210          1.406300
             20.20          0.070189          0.203970          0.536090          0.319600          0.717690          0.678050          1.232200          1.324900          1.768600          1.900100          0.705110          1.227900          0.853640          1.407500
             20.30          0.070536          0.201260          0.538270          0.315020          0.719980          0.668380          1.235200          1.327900          1.772100          1.903700          0.695630          1.229500          0.842680          1.408600
             20.40          0.070877          0.199400          0.540390          0.311490          0.722220          0.660500          1.238100          1.330800          1.775600          1.907100          0.687620          1.231000          0.833300          1.409500
             20.50          0.071212          0.198340          0.542470          0.308990          0.724380          0.654370          1.240900          1.333600          1.778800          1.910300          0.681050          1.232400          0.825470          1.410400
             20.60          0.071540          0.198090          0.544490          0.307490          0.726480          0.649940          1.243500          1.336200          1.781900          1.913300          0.675910          1.233700          0.819150          1.411100
             20.70          0.071861          0.198610          0.546460          0.306990          0.728510          0.647180          1.246100          1.338700          1.784900          1.916200          0.672150          1.234800          0.814300          1.411700
             20.80          0.072175          0.199900          0.548380          0.307440          0.730480          0.646060          1.248500          1.341100          1.787600          1.918900          0.669740          1.235900          0.810910          1.412200
             20.90          0.072482          0.201920          0.550250          0.308830          0.732370          0.646520          1.250900          1.343400          1.790300          1.921400          0.668650          1.236900          0.808920          1.412600
             21.00          0.072782          0.204670          0.552060          0.311150          0.734190          0.648550          1.253100          1.345600          1.792700          1.923800          0.668860          1.237700          0.808320          1.412800
             21.10          0.073075          0.208130          0.553810          0.314350          0.735940          0.652080          1.255200          1.347600          1.795000          1.926000          0.670320          1.238400          0.809050          1.412900
             21.20          0.073360          0.212270          0.555510          0.318420          0.737620          0.657100          1.257200          1.349500          1.797200          1.928000          0.673010          1.239100          0.811100          1.412900
             21.30          0.073637          0.217090          0.557160          0.323350          0.739230          0.663560          1.259000          1.351300          1.799100          1.929800          0.676890          1.239600          0.814430          1.412800
             21.40          0.073906          0.222550          0.558740          0.329090          0.740760          0.671410          1.260800          1.352900          1.800900          1.931400          0.681950          1.240000          0.819000          1.412600
             21.50          0.074167          0.228640          0.560260          0.335640          0.742210          0.680640          1.262400          1.354400          1.802600          1.932900          0.688130          1.240300          0.824780          1.412200
             21.60          0.074420          0.235350          0.561730          0.342970          0.743590          0.691180          1.263900          1.355800          1.804000          1.934200          0.695410          1.240400          0.831740          1.411700
             21.70          0.074665          0.242650          0.563130          0.351050          0.744890          0.703010          1.265300          1.357000          1.805300          1.935200          0.703770          1.240500          0.839840          1.411100
             21.80          0.074902          0.250520          0.564480          0.359870          0.746110          0.716090          1.266500          1.358100          1.806400          1.936100          0.713160          1.240500          0.849050          1.410400
             21.90          0.075130          0.258960          0.565760          0.369390          0.747260          0.730380          1.267600          1.359100          1.807400          1.936800          0.723560          1.240300          0.859340          1.409500
             22.00          0.075350          0.267930          0.566980          0.379610          0.748320          0.745840          1.268600          1.360000          1.808200          1.937400          0.734940          1.240000          0.870670          1.408600
             22.10          0.075561          0.277420          0.568140          0.390480          0.749310          0.762440          1.269500          1.360700          1.808800          1.937700          0.747260          1.239600          0.883020          1.407400
             22.20          0.075763          0.287420          0.569230          0.402000          0.750210          0.780130          1.270200          1.361200          1.809200          1.937900          0.760490          1.239100          0.896340          1.406200
             22.30          0.075956          0.297900          0.570260          0.414140          0.751040          0.798880          1.270900          1.361700          1.809400          1.937800          0.774610          1.238500          0.910610          1.404900
             22.40          0.076140          0.308840          0.571220          0.426880          0.751780          0.818660          1.271300          1.361900          1.809500          1.937600          0.789580          1.237700          0.925790          1.403400
             22.50          0.076315          0.320240          0.572120          0.440190          0.752440          0.839410          1.271700          1.362100          1.809400          1.937100          0.805380          1.236800          0.941840          1.401800
             22.60          0.076481          0.332060          0.572950          0.454050          0.753020          0.861120          1.271900          1.362100          1.809100          1.936500          0.821960          1.235900          0.958750          1.400000
             22.70          0.076638          0.344290          0.573720          0.468440          0.753520          0.883730          1.272000          1.362000          1.808600          1.935700          0.839310          1.234800          0.976480          1.398200
             22.80          0.076785          0.356920          0.574420          0.483340          0.753930          0.907220          1.272000          1.361700          1.807900          1.934700          0.857380          1.233500          0.994980          1.396200
             22.90          0.076923          0.369930          0.575050          0.498730          0.754260          0.931540          1.271800          1.361300          1.807100          1.933500          0.876160          1.232200          1.014200          1.394100
             23.00          0.077052          0.383300          0.575610          0.514580          0.754510          0.956670          1.271500          1.360700          1.806100          1.932100          0.895620          1.230800          1.034200          1.391800
             23.10          0.077171          0.397000          0.576110          0.530870          0.754670          0.982560          1.271100          1.360000          1.804900          1.930500          0.915710          1.229200          1.054900          1.389500
             23.20          0.077280          0.411030          0.576540          0.547590          0.754750          1.009200          1.270500          1.359200          1.803500          1.928700          0.936420          1.227500          1.076200          1.387000
             23.30          0.077380          0.425370          0.576900          0.564700          0.754740          1.036500          1.269800          1.358200          1.802000          1.926800          0.957720          1.225700          1.098200          1.384400
             23.40          0.077470          0.440000          0.577190          0.582200          0.754650          1.064500          1.269000          1.357100          1.800200          1.924600          0.979570          1.223800          1.120800          1.381600
             23.50          0.077550          0.454900          0.577410          0.600050          0.754470          1.093100          1.268100          1.355800          1.798300          1.922200          1.001900          1.221800          1.143900          1.378800
             23.60          0.077621          0.470060          0.577570          0.618240          0.754210          1.122200          1.267000          1.354400          1.796200          1.919700          1.024800          1.219600          1.167500          1.375800
             23.70          0.077681          0.485460          0.577650          0.636750          0.753860          1.152000          1.265700          1.352900          1.793900          1.916900          1.048200          1.217400          1.191700          1.372700
             23.80          0.077732          0.501080          0.577670          0.655550          0.753430          1.182300          1.264400          1.351200          1.791500          1.914000          1.072000          1.215000          1.216400          1.369400
             23.90          0.077773          0.516910          0.577610          0.674640          0.752910          1.213000          1.262900          1.349400          1.788800          1.910900          1.096200          1.212500          1.241500          1.366100
             24.00          0.077804          0.532930          0.577490          0.693980          0.752310          1.244200          1.261300          1.347400          1.786000          1.907500          1.120800          1.209900          1.267000          1.362600
             24.10          0.077825          0.549130          0.577290          0.713550          0.751620          1.275900          1.259500          1.345300          1.783000          1.904000          1.145800          1.207200          1.293000          1.359000
             24.20          0.077836          0.565490          0.577030          0.733350          0.750850          1.307900          1.257600          1.343100          1.779800          1.900300          1.171100          1.204300          1.319200          1.355300
             24.30          0.077837          0.581990          0.576700          0.753340          0.749990          1.340300          1.255600          1.340700          1.776400          1.896400          1.196700          1.201400          1.345900          1.351500
             24.40          0.077828          0.598620          0.576290          0.773520          0.749050          1.373000          1.253500          1.338200          1.772900          1.892300          1.222600          1.198300          1.372800          1.347500
             24.50          0.077809          0.615370          0.575820          0.793850          0.748020          1.406000          1.251200          1.335500          1.769200          1.888100          1.248800          1.195100          1.400100          1.343500
             24.60          0.077780          0.632210          0.575280          0.814330          0.746910          1.439300          1.248800          1.332700          1.765300          1.883600          1.275200          1.191900          1.427600          1.339300
             24.70          0.077740          0.649140          0.574670          0.834940          0.745720          1.472800          1.246300          1.329800          1.761300          1.879000          1.301800          1.188500          1.455300          1.335000
             24.80          0.077691          0.666140          0.573990          0.855650          0.744440          1.506500          1.243600          1.326700          1.757000          1.874100          1.328600          1.185000          1.483200          1.330600
             24.90          0.077632          0.683200          0.573240          0.876450          0.743080          1.540400          1.240800          1.323500          1.752600          1.869100          1.355600          1.181400          1.511400          1.326100
             25.00          0.077563          0.700300          0.572420          0.897330          0.741630          1.574500          1.237900          1.320100          1.748000          1.863900          1.382700          1.177600          1.539600          1.321400
             25.10          0.077485          0.717430          0.571530          0.918260          0.740110          1.608600          1.234900          1.316700          1.743300          1.858500          1.409900          1.173800          1.568100          1.316700
             25.20          0.077396          0.734570          0.570580          0.939230          0.738500          1.642900          1.231700          1.313000          1.738400          1.853000          1.437300          1.169900          1.596600          1.311800
             25.30          0.077297          0.751710          0.569550          0.960220          0.736810          1.677200          1.228400          1.309300          1.733300          1.847300          1.464700          1.165900          1.625200          1.306900
             25.40          0.077188          0.768850          0.568460          0.981210          0.735030          1.711600          1.225000          1.305400          1.728000          1.841300          1.492100          1.161700          1.653900          1.301800
             25.50          0.077070          0.785960          0.567310          1.002200          0.733180          1.746000          1.221400          1.301400          1.722600          1.835300          1.519600          1.157500          1.682600          1.296600
             25.60          0.076942          0.803030          0.566080          1.023200          0.731250          1.780300          1.217800          1.297300          1.717000          1.829000          1.547100          1.153100          1.711300          1.291300
             25.70          0.076804          0.820050          0.564790          1.044100          0.729240          1.814700          1.214000          1.293000          1.711300          1.822600          1.574600          1.148700          1.740100          1.285900
             25.80          0.076656          0.837010          0.563430          1.064900          0.727140          1.848900          1.210100          1.288600          1.705300          1.816000          1.602000          1.144100          1.768800          1.280400
             25.90          0.076499          0.853900          0.562010          1.085700          0.724980          1.883100          1.206100          1.284100          1.699300          1.809200          1.629400          1.139500          1.797400          1.274800
             26.00          0.076333          0.870710          0.560520          1.106500          0.722730          1.917200          1.201900          1.279500          1.693100          1.802300          1.656700          1.134800          1.826000          1.269200
             26.10          0.076156          0.887410          0.558970          1.127100          0.720400          1.951100          1.197700          1.274700          1.686700          1.795200          1.684000          1.129900          1.854500          1.263400
             26.20          0.075971          0.904020          0.557350          1.147600          0.718000          1.984900          1.193300          1.269800          1.680100          1.787900          1.711100          1.125000          1.882900          1.257500
             26.30          0.075775          0.920500          0.555670          1.167900          0.715530          2.018500          1.188800          1.264800          1.673400          1.780500          1.738100          1.120000          1.911200          1.251500
             26.40          0.075571          0.936850          0.553920          1.188200          0.712980          2.051800          1.184200          1.259700          1.666600          1.772900          1.764900          1.114900          1.939400          1.245400
             26.50          0.075357          0.953070          0.552120          1.208200          0.710350          2.085000          1.179500          1.254500          1.659600          1.765100          1.791600          1.109700          1.967300          1.239200
             26.60          0.075135          0.969130          0.550250          1.228200          0.707650          2.117900          1.174700          1.249100          1.652500          1.757200          1.818100          1.104400          1.995100          1.233000
             26.70          0.074903          0.985040          0.548320          1.247900          0.704880          2.150600          1.169800          1.243700          1.645200          1.749200          1.844400          1.099000          2.022700          1.226600
             26.80          0.074662          1.000800          0.546330          1.267400          0.702040          2.182900          1.164700          1.238100          1.637800          1.741000          1.870500          1.093500          2.050100          1.220200
             26.90          0.074412          1.016300          0.544280          1.286800          0.699130          2.215000          1.159600          1.232400          1.630200          1.732600          1.896400          1.087900          2.077200          1.213600
             27.00          0.074154          1.031700          0.542170          1.305900          0.696150          2.246700          1.154300          1.226600          1.622500          1.724100          1.922000          1.082300          2.104100          1.207000
             27.10          0.073886          1.046900          0.540000          1.324800          0.693100          2.278100          1.149000          1.220700          1.614600          1.715500          1.947400          1.076600          2.130800          1.200300
             27.20          0.073611          1.061900          0.537770          1.343500          0.689980          2.309100          1.143500          1.214700          1.606700          1.706700          1.972400          1.070800          2.157100          1.193500
             27.30          0.073326          1.076600          0.535490          1.362000          0.686790          2.339800          1.138000          1.208500          1.598600          1.697800          1.997200          1.064900          2.183200          1.186700
             27.40          0.073033          1.091200          0.533150          1.380100          0.683540          2.370000          1.132300          1.202300          1.590300          1.688800          2.021700          1.058900          2.208900          1.179700
             27.50          0.072732          1.105500          0.530760          1.398100          0.680230          2.399900          1.126600          1.196000          1.582000          1.679600          2.045900          1.052900          2.234300          1.172700
             27.60          0.072423          1.119600          0.528310          1.415700          0.676850          2.429300          1.120700          1.189600          1.573500          1.670300          2.069800          1.046800          2.259400          1.165600
             27.70          0.072106          1.133400          0.525800          1.433100          0.673400          2.458300          1.114800          1.183000          1.564800          1.660800          2.093300          1.040600          2.284200          1.158400
             27.80          0.071780          1.147000          0.523250          1.450100          0.669900          2.486800          1.108800          1.176400          1.556100          1.651200          2.116400          1.034400          2.308600          1.151200
             27.90          0.071447          1.160300          0.520640          1.466900          0.666340          2.514800          1.102600          1.169700          1.547300          1.641600          2.139200          1.028000          2.332600          1.143900
             28.00          0.071106          1.173400          0.517980          1.483400          0.662710          2.542400          1.096400          1.162900          1.538300          1.631700          2.161700          1.021600          2.356200          1.136500
             28.10          0.070758          1.186200          0.515270          1.499500          0.659030          2.569500          1.090200          1.156000          1.529200          1.621800          2.183700          1.015200          2.379400          1.129100
             28.20          0.070402          1.198700          0.512510          1.515300          0.655290          2.596000          1.083800          1.149000          1.520000          1.611800          2.205300          1.008700          2.402200          1.121600
             28.30          0.070039          1.211000          0.509700          1.530800          0.651500          2.622000          1.077300          1.142000          1.510700          1.601600          2.226600          1.002100          2.424600          1.114000
             28.40          0.069668          1.222900          0.506840          1.546000          0.647650          2.647500          1.070800          1.134800          1.501300          1.591300          2.247400          0.995410          2.446500          1.106400
             28.50          0.069291          1.234600          0.503940          1.560800          0.643740          2.672500          1.064200          1.127600          1.491800          1.580900          2.267700          0.988700          2.468000          1.098700
             28.60          0.068906          1.245900          0.500990          1.575300          0.639790          2.696900          1.057500          1.120300          1.482100          1.570500          2.287700          0.981930          2.489100          1.090900
             28.70          0.068515          1.257000          0.498000          1.589400          0.635780          2.720700          1.050700          1.112900          1.472400          1.559900          2.307200          0.975110          2.509700          1.083100
             28.80          0.068117          1.267800          0.494960          1.603100          0.631720          2.744000          1.043800          1.105400          1.462600          1.549200          2.326300          0.968230          2.529800          1.075300
             28.90          0.067712          1.278200          0.491880          1.616500          0.627620          2.766600          1.036900          1.097900          1.452700          1.538400          2.344900          0.961300          2.549500          1.067400
             29.00          0.067301          1.288400          0.488760          1.629500          0.623470          2.788700          1.029900          1.090300          1.442700          1.527600          2.363000          0.954320          2.568700          1.059400
             29.10          0.066884          1.298200          0.485600          1.642100          0.619270          2.810100          1.022900          1.082600          1.432700          1.516600          2.380600          0.947290          2.587400          1.051400
             29.20          0.066461          1.307700          0.482400          1.654400          0.615020          2.831000          1.015800          1.074900          1.422500          1.505500          2.397800          0.940210          2.605500          1.043400
             29.30          0.066032          1.316900          0.479150          1.666200          0.610730          2.851200          1.008600          1.067100          1.412200          1.494400          2.414500          0.933080          2.623200          1.035300
             29.40          0.065596          1.325700          0.475880          1.677700          0.606400          2.870800          1.001400          1.059200          1.401900          1.483200          2.430700          0.925910          2.640400          1.027200
             29.50          0.065156          1.334200          0.472560          1.688800          0.602030          2.889800          0.994050          1.051300          1.391500          1.471900          2.446400          0.918700          2.657000          1.019000
             29.60          0.064709          1.342400          0.469210          1.699400          0.597620          2.908200          0.986690          1.043300          1.381000          1.460600          2.461600          0.911450          2.673200          1.010800
             29.70          0.064258          1.350300          0.465820          1.709700          0.593170          2.925900          0.979270          1.035200          1.370500          1.449100          2.476300          0.904160          2.688800          1.002500
             29.80          0.063801          1.357800          0.462410          1.719600          0.588680          2.942900          0.971800          1.027100          1.359900          1.437600          2.490500          0.896830          2.703900          0.994240
             29.90          0.063339          1.364900          0.458950          1.729000          0.584160          2.959300          0.964280          1.019000          1.349200          1.426000          2.504100          0.889470          2.718400          0.985930
             30.00          0.062873          1.371800          0.455470          1.738100          0.579600          2.975000          0.956710          1.010800          1.338500          1.414400          2.517300          0.882080          2.732400          0.977590
             30.10          0.062401          1.378300          0.451960          1.746700          0.575010          2.990100          0.949100          1.002500          1.327700          1.402700          2.529900          0.874650          2.745800          0.969210
             30.20          0.061925          1.384400          0.448420          1.755000          0.570390          3.004500          0.941440          0.994220          1.316800          1.391000          2.542000          0.867200          2.758700          0.960820
             30.30          0.061445          1.390200          0.444850          1.762800          0.565730          3.018200          0.933730          0.985880          1.305900          1.379200          2.553600          0.859710          2.771100          0.952400
             30.40          0.060960          1.395700          0.441250          1.770200          0.561050          3.031300          0.925980          0.977500          1.294900          1.367300          2.564600          0.852200          2.782900          0.943950
             30.50          0.060471          1.400800          0.437630          1.777200          0.556340          3.043700          0.918200          0.969080          1.283900          1.355400          2.575100          0.844670          2.794100          0.935490
             30.60          0.059978          1.405600          0.433980          1.783800          0.551600          3.055400          0.910380          0.960630          1.272800          1.343500          2.585100          0.837110          2.804800          0.927000
             30.70          0.059482          1.410000          0.430310          1.789900          0.546840          3.066500          0.902520          0.952140          1.261700          1.331500          2.594500          0.829540          2.814900          0.918500
             30.80          0.058982          1.414000          0.426620          1.795600          0.542060          3.076800          0.894630          0.943620          1.250600          1.319400          2.603400          0.821940          2.824500          0.909990
             30.90          0.058478          1.417800          0.422900          1.800900          0.537250          3.086500          0.886710          0.935070          1.239400          1.307400          2.611700          0.814330          2.833500          0.901460
             31.00          0.057971          1.421200          0.419170          1.805800          0.532420          3.095500          0.878750          0.926490          1.228200          1.295300          2.619500          0.806700          2.841900          0.892920
             31.10          0.057461          1.424200          0.415420          1.810300          0.527570          3.103800          0.870780          0.917890          1.217000          1.283200          2.626800          0.799060          2.849800          0.884370
             31.20          0.056948          1.426900          0.411640          1.814400          0.522700          3.111500          0.862780          0.909260          1.205700          1.271000          2.633500          0.791410          2.857100          0.875810
             31.30          0.056432          1.429200          0.407850          1.818000          0.517810          3.118400          0.854750          0.900610          1.194400          1.258800          2.639700          0.783750          2.863900          0.867250
             31.40          0.055914          1.431200          0.404050          1.821200          0.512910          3.124700          0.846710          0.891950          1.183000          1.246600          2.645400          0.776080          2.870000          0.858680
             31.50          0.055393          1.432900          0.400230          1.824000          0.508000          3.130400          0.838640          0.883270          1.171700          1.234400          2.650500          0.768400          2.875700          0.850120
             31.60          0.054870          1.434200          0.396400          1.826400          0.503070          3.135300          0.830560          0.874570          1.160300          1.222200          2.655100          0.760720          2.880700          0.841550
             31.70          0.054344          1.435200          0.392550          1.828400          0.498130          3.139600          0.822470          0.865860          1.149000          1.209900          2.659100          0.753030          2.885200          0.832980
             31.80          0.053817          1.435800          0.388690          1.830000          0.493170          3.143200          0.814360          0.857140          1.137600          1.197700          2.662600          0.745350          2.889200          0.824420
             31.90          0.053287          1.436100          0.384830          1.831200          0.488210          3.146100          0.806240          0.848410          1.126200          1.185400          2.665600          0.737660          2.892500          0.815860
             32.00          0.052756          1.436100          0.380950          1.831900          0.483240          3.148400          0.798110          0.839670          1.114700          1.173200          2.668000          0.729980          2.895400          0.807310
             32.10          0.052224          1.435800          0.377070          1.832300          0.478270          3.150000          0.789980          0.830930          1.103300          1.160900          2.669900          0.722300          2.897600          0.798770
             32.20          0.051690          1.435100          0.373170          1.832200          0.473290          3.150900          0.781840          0.822190          1.091900          1.148600          2.671300          0.714620          2.899400          0.790240
             32.30          0.051155          1.434100          0.369280          1.831800          0.468300          3.151300          0.773700          0.813450          1.080500          1.136400          2.672200          0.706960          2.900600          0.781720
             32.40          0.050619          1.432700          0.365370          1.830900          0.463320          3.150900          0.765550          0.804710          1.069100          1.124100          2.672500          0.699300          2.901200          0.773220
             32.50          0.050082          1.431100          0.361470          1.829700          0.458330          3.149900          0.757410          0.795980          1.057700          1.111900          2.672400          0.691650          2.901300          0.764730
             32.60          0.049544          1.429100          0.357560          1.828100          0.453340          3.148300          0.749270          0.787250          1.046300          1.099700          2.671700          0.684020          2.900800          0.756260
             32.70          0.049006          1.426800          0.353650          1.826100          0.448350          3.146000          0.741140          0.778530          1.034900          1.087400          2.670500          0.676390          2.899900          0.747810
             32.80          0.048467          1.424200          0.349730          1.823700          0.443360          3.143100          0.733010          0.769820          1.023500          1.075200          2.668800          0.668790          2.898400          0.739380
             32.90          0.047928          1.421300          0.345820          1.820900          0.438380          3.139600          0.724900          0.761130          1.012200          1.063100          2.666600          0.661200          2.896300          0.730970
             33.00          0.047389          1.418100          0.341910          1.817800          0.433400          3.135500          0.716790          0.752440          1.000800          1.050900          2.663900          0.653620          2.893800          0.722580
             33.10          0.046850          1.414600          0.338000          1.814200          0.428430          3.130700          0.708690          0.743780          0.989490          1.038800          2.660700          0.646070          2.890700          0.714220
             33.20          0.046311          1.410800          0.334100          1.810300          0.423460          3.125400          0.700610          0.735130          0.978190          1.026700          2.657000          0.638540          2.887100          0.705890
             33.30          0.045772          1.406700          0.330200          1.806100          0.418500          3.119400          0.692550          0.726500          0.966920          1.014600          2.652900          0.631030          2.883000          0.697580
             33.40          0.045234          1.402300          0.326300          1.801500          0.413560          3.112900          0.684500          0.717890          0.955680          1.002600          2.648200          0.623550          2.878400          0.689310
             33.50          0.044696          1.397600          0.322410          1.796500          0.408620          3.105700          0.676470          0.709310          0.944470          0.990630          2.643100          0.616090          2.873300          0.681070
             33.60          0.044159          1.392700          0.318530          1.791200          0.403690          3.098000          0.668460          0.700750          0.933280          0.978680          2.637600          0.608660          2.867700          0.672860
             33.70          0.043624          1.387400          0.314660          1.785500          0.398780          3.089700          0.660480          0.692220          0.922140          0.966760          2.631500          0.601250          2.861700          0.664690
             33.80          0.043089          1.381900          0.310790          1.779500          0.393880          3.080900          0.652510          0.683720          0.911030          0.954900          2.625000          0.593880          2.855100          0.656550
             33.90          0.042555          1.376100          0.306940          1.773200          0.389000          3.071500          0.644580          0.675250          0.899960          0.943070          2.618100          0.586540          2.848100          0.648450
             34.00          0.042023          1.370100          0.303100          1.766500          0.384130          3.061500          0.636670          0.666810          0.888940          0.931300          2.610700          0.579230          2.840600          0.640380
             34.10          0.041492          1.363800          0.299270          1.759600          0.379280          3.051000          0.628800          0.658410          0.877950          0.919580          2.602800          0.571960          2.832600          0.632360
             34.20          0.040962          1.357200          0.295450          1.752200          0.374450          3.040000          0.620950          0.650040          0.867020          0.907910          2.594600          0.564720          2.824200          0.624380
             34.30          0.040435          1.350400          0.291640          1.744600          0.369640          3.028400          0.613140          0.641710          0.856130          0.896290          2.585900          0.557510          2.815300          0.616440
             34.40          0.039909          1.343300          0.287850          1.736700          0.364840          3.016400          0.605360          0.633420          0.845290          0.884730          2.576700          0.550350          2.806000          0.608550
             34.50          0.039385          1.336000          0.284080          1.728400          0.360070          3.003800          0.597610          0.625170          0.834500          0.873240          2.567200          0.543220          2.796300          0.600700
             34.60          0.038864          1.328500          0.280320          1.719900          0.355320          2.990700          0.589910          0.616960          0.823770          0.861800          2.557300          0.536140          2.786100          0.592900
             34.70          0.038344          1.320700          0.276580          1.711100          0.350600          2.977100          0.582240          0.608800          0.813090          0.850430          2.546900          0.529090          2.775500          0.585150
             34.80          0.037827          1.312700          0.272860          1.701900          0.345900          2.963000          0.574610          0.600680          0.802480          0.839120          2.536200          0.522090          2.764400          0.577450
             34.90          0.037313          1.304500          0.269150          1.692500          0.341220          2.948500          0.567020          0.592610          0.791920          0.827880          2.525000          0.515130          2.753000          0.569800
             35.00          0.036801          1.296100          0.265470          1.682900          0.336570          2.933500          0.559480          0.584590          0.781420          0.816710          2.513500          0.508220          2.741200          0.562190
             35.10          0.036291          1.287400          0.261810          1.672900          0.331950          2.918100          0.551980          0.576620          0.770990          0.805610          2.501600          0.501350          2.728900          0.554650
             35.20          0.035785          1.278500          0.258160          1.662700          0.327360          2.902200          0.544530          0.568700          0.760620          0.794590          2.489400          0.494540          2.716300          0.547150
             35.30          0.035282          1.269500          0.254540          1.652200          0.322790          2.885800          0.537120          0.560830          0.750330          0.783640          2.476800          0.487770          2.703300          0.539710
             35.40          0.034781          1.260200          0.250940          1.641500          0.318260          2.869000          0.529770          0.553010          0.740100          0.772770          2.463800          0.481040          2.689900          0.532330
             35.50          0.034284          1.250800          0.247370          1.630500          0.313750          2.851900          0.522460          0.545260          0.729940          0.761970          2.450500          0.474370          2.676100          0.525000
             35.60          0.033790          1.241100          0.243820          1.619300          0.309280          2.834300          0.515200          0.537550          0.719850          0.751260          2.436900          0.467750          2.662000          0.517730
