            angle	  Ex=0.000(1d5/2)	  Ex=1.808(1s1/2)	  Ex=1.808(0d5/2)	  Ex=2.937(1s1/2)	  Ex=2.937(0d5/2)	  Ex=3.938(1s1/2)	  Ex=3.938(0d3/2)	  Ex=3.938(0d5/2)	  Ex=4.319(0d3/2)	  Ex=4.319(0d5/2)	  Ex=4.835(1s1/2)	  Ex=4.835(0d5/2)	  Ex=5.291(1s1/2)	  Ex=5.291(0d5/2)	
              3.90          0.043779         13.727000          0.317010         17.543000          0.419750         30.198000          0.740940          0.789460          1.083100          1.150600         25.550000          0.766820         27.648000          0.911240
              4.00          0.043604         13.642000          0.316100         17.434000          0.418970         30.013000          0.740150          0.788780          1.082400          1.150100         25.393000          0.766790         27.479000          0.911520
              4.10          0.043427         13.555000          0.315180         17.324000          0.418190         29.823000          0.739380          0.788110          1.081600          1.149500         25.234000          0.766770         27.306000          0.911830
              4.20          0.043249         13.466000          0.314260         17.211000          0.417410         29.630000          0.738610          0.787450          1.080900          1.149000         25.071000          0.766780         27.131000          0.912170
              4.30          0.043069         13.376000          0.313330         17.096000          0.416630         29.434000          0.737850          0.786810          1.080200          1.148500         24.906000          0.766810         26.952000          0.912530
              4.40          0.042888         13.284000          0.312400         16.979000          0.415860         29.234000          0.737100          0.786180          1.079600          1.148000         24.737000          0.766860         26.770000          0.912920
              4.50          0.042706         13.190000          0.311470         16.861000          0.415090         29.031000          0.736360          0.785560          1.078900          1.147600         24.566000          0.766930         26.585000          0.913340
              4.60          0.042523         13.095000          0.310540         16.740000          0.414320         28.824000          0.735640          0.784970          1.078300          1.147100         24.392000          0.767020         26.397000          0.913790
              4.70          0.042340         12.999000          0.309610         16.617000          0.413560         28.614000          0.734940          0.784390          1.077700          1.146800         24.215000          0.767150         26.206000          0.914280
              4.80          0.042156         12.901000          0.308680         16.493000          0.412810         28.401000          0.734260          0.783840          1.077100          1.146400         24.035000          0.767290         26.012000          0.914790
              4.90          0.041971         12.802000          0.307750         16.367000          0.412070         28.184000          0.733600          0.783320          1.076600          1.146100         23.853000          0.767470         25.816000          0.915340
              5.00          0.041787         12.701000          0.306830         16.239000          0.411340         27.965000          0.732960          0.782820          1.076100          1.145800         23.668000          0.767670         25.616000          0.915920
              5.10          0.041603         12.599000          0.305920         16.109000          0.410620         27.743000          0.732340          0.782340          1.075600          1.145600         23.481000          0.767910         25.414000          0.916540
              5.20          0.041418         12.495000          0.305010         15.977000          0.409910         27.518000          0.731750          0.781900          1.075200          1.145400         23.292000          0.768170         25.210000          0.917200
              5.30          0.041235         12.390000          0.304110         15.844000          0.409220         27.290000          0.731190          0.781490          1.074900          1.145300         23.100000          0.768470         25.002000          0.917890
              5.40          0.041052         12.284000          0.303220         15.709000          0.408540         27.059000          0.730660          0.781120          1.074500          1.145200         22.906000          0.768800         24.793000          0.918630
              5.50          0.040870         12.177000          0.302340         15.573000          0.407880         26.826000          0.730160          0.780780          1.074200          1.145200         22.709000          0.769170         24.581000          0.919400
              5.60          0.040689         12.069000          0.301470         15.435000          0.407240         26.590000          0.729700          0.780470          1.074000          1.145200         22.511000          0.769570         24.367000          0.920220
              5.70          0.040509         11.959000          0.300610         15.296000          0.406620         26.352000          0.729270          0.780210          1.073800          1.145300         22.310000          0.770010         24.150000          0.921080
              5.80          0.040331         11.849000          0.299770         15.156000          0.406020         26.111000          0.728870          0.779990          1.073700          1.145500         22.108000          0.770490         23.931000          0.921980
              5.90          0.040155         11.737000          0.298940         15.014000          0.405440         25.868000          0.728520          0.779810          1.073600          1.145700         21.903000          0.771010         23.711000          0.922930
              6.00          0.039980         11.624000          0.298130         14.871000          0.404890         25.623000          0.728210          0.779680          1.073600          1.146000         21.697000          0.771570         23.488000          0.923920
              6.10          0.039807         11.510000          0.297340         14.726000          0.404360         25.376000          0.727940          0.779590          1.073700          1.146300         21.489000          0.772180         23.264000          0.924960
              6.20          0.039637         11.396000          0.296560         14.581000          0.403860         25.127000          0.727710          0.779550          1.073800          1.146700         21.279000          0.772820         23.037000          0.926050
              6.30          0.039469         11.280000          0.295810         14.434000          0.403380         24.876000          0.727530          0.779570          1.073900          1.147200         21.068000          0.773510         22.809000          0.927190
