            angle	  Ex=0.000(0d5/2)	  Ex=1.808(1s1/2)	  Ex=1.808(0d5/2)	  Ex=2.937(1s1/2)	  Ex=2.937(0d5/2)	  Ex=3.938(1s1/2)	  Ex=3.938(0d3/2)	  Ex=3.938(0d5/2)	  Ex=4.319(0d3/2)	  Ex=4.319(0d5/2)	  Ex=4.835(1s1/2)	  Ex=4.835(0d5/2)	  Ex=5.291(1s1/2)	  Ex=5.291(0d5/2)	
            30.00	         0.245980	         0.866120	         1.442900	         1.091500	         1.630500	         1.958500	         2.637100	         2.582100	         3.574600	         3.491500	         1.768500	         2.082000	         1.992300	         2.221300	
            30.10	         0.245570	         0.874560	         1.439300	         1.104300	         1.625400	         1.982800	         2.628200	         2.572400	         3.561500	         3.477400	         1.790000	         2.072800	         2.015800	         2.210700	
            30.20	         0.245140	         0.882860	         1.435600	         1.117000	         1.620200	         2.006600	         2.619000	         2.562400	         3.548200	         3.463000	         1.811100	         2.063500	         2.039000	         2.200000	
            30.30	         0.244690	         0.891030	         1.431800	         1.129400	         1.614800	         2.030100	         2.609700	         2.552300	         3.534600	         3.448400	         1.832000	         2.054000	         2.061800	         2.189100	
            30.40	         0.244220	         0.899060	         1.427900	         1.141600	         1.609300	         2.053300	         2.600200	         2.542000	         3.520800	         3.433500	         1.852500	         2.044400	         2.084200	         2.178200	
            30.50	         0.243730	         0.906920	         1.423800	         1.153600	         1.603700	         2.076000	         2.590500	         2.531500	         3.506800	         3.418400	         1.872700	         2.034600	         2.106300	         2.167000	
            30.60	         0.243220	         0.914620	         1.419600	         1.165400	         1.598000	         2.098400	         2.580600	         2.520800	         3.492500	         3.403100	         1.892500	         2.024800	         2.128000	         2.155800	
            30.70	         0.242690	         0.922150	         1.415300	         1.177000	         1.592100	         2.120300	         2.570600	         2.509900	         3.478000	         3.387600	         1.911900	         2.014800	         2.149300	         2.144500	
            30.80	         0.242140	         0.929500	         1.410900	         1.188300	         1.586100	         2.141700	         2.560400	         2.498900	         3.463300	         3.371800	         1.931000	         2.004700	         2.170200	         2.133000	
            30.90	         0.241570	         0.936660	         1.406400	         1.199300	         1.580000	         2.162800	         2.550000	         2.487700	         3.448400	         3.355800	         1.949700	         1.994400	         2.190600	         2.121400	
            31.00	         0.240980	         0.943630	         1.401700	         1.210100	         1.573800	         2.183300	         2.539500	         2.476300	         3.433300	         3.339600	         1.967900	         1.984100	         2.210700	         2.109700	
            31.10	         0.240380	         0.950400	         1.397000	         1.220600	         1.567500	         2.203400	         2.528800	         2.464800	         3.418000	         3.323200	         1.985800	         1.973600	         2.230200	         2.097900	
            31.20	         0.239750	         0.956950	         1.392100	         1.230800	         1.561000	         2.223000	         2.518000	         2.453000	         3.402400	         3.306600	         2.003300	         1.963100	         2.249300	         2.086000	
            31.30	         0.239110	         0.963300	         1.387200	         1.240800	         1.554500	         2.242100	         2.506900	         2.441200	         3.386700	         3.289700	         2.020300	         1.952400	         2.268000	         2.073900	
            31.40	         0.238440	         0.969430	         1.382100	         1.250500	         1.547800	         2.260600	         2.495800	         2.429200	         3.370700	         3.272700	         2.036800	         1.941600	         2.286200	         2.061800	
            31.50	         0.237760	         0.975330	         1.377000	         1.259800	         1.541000	         2.278700	         2.484500	         2.417000	         3.354600	         3.255500	         2.053000	         1.930700	         2.303800	         2.049600	
            31.60	         0.237060	         0.981000	         1.371700	         1.268900	         1.534100	         2.296200	         2.473000	         2.404700	         3.338300	         3.238100	         2.068700	         1.919700	         2.321000	         2.037300	
            31.70	         0.236350	         0.986440	         1.366300	         1.277600	         1.527100	         2.313200	         2.461400	         2.392200	         3.321800	         3.220500	         2.083900	         1.908600	         2.337700	         2.024800	
            31.80	         0.235610	         0.991640	         1.360800	         1.286100	         1.520000	         2.329600	         2.449700	         2.379600	         3.305100	         3.202700	         2.098600	         1.897400	         2.353900	         2.012300	
            31.90	         0.234860	         0.996600	         1.355300	         1.294200	         1.512800	         2.345500	         2.437800	         2.366800	         3.288200	         3.184700	         2.112900	         1.886100	         2.369600	         1.999700	
            32.00	         0.234100	         1.001300	         1.349600	         1.302000	         1.505500	         2.360800	         2.425700	         2.353900	         3.271200	         3.166600	         2.126700	         1.874700	         2.384800	         1.987100	
