            angle	  Ex=0.000(0d5/2)	  Ex=1.808(1s1/2)	  Ex=1.808(0d5/2)	  Ex=2.937(1s1/2)	  Ex=2.937(0d5/2)	  Ex=3.938(1s1/2)	  Ex=3.938(0d3/2)	  Ex=3.938(0d5/2)	  Ex=4.319(0d3/2)	  Ex=4.319(0d5/2)	  Ex=4.835(1s1/2)	  Ex=4.835(0d5/2)	  Ex=5.291(1s1/2)	  Ex=5.291(0d5/2)	
            40.50	         0.137190	         0.556770	         0.710150	         0.833030	         0.739430	         1.677100	         1.217900	         1.090700	         1.605800	         1.437100	         1.619600	         0.828350	         1.866000	         0.858900	
            40.60	         0.136010	         0.546050	         0.702790	         0.819370	         0.730980	         1.654000	         1.204700	         1.077300	         1.587900	         1.419000	         1.600400	         0.817700	         1.845400	         0.847670	
            40.70	         0.134830	         0.535350	         0.695480	         0.805690	         0.722580	         1.630700	         1.191700	         1.064000	         1.570200	         1.401200	         1.581000	         0.807140	         1.824600	         0.836530	
            40.80	         0.133660	         0.524670	         0.688210	         0.792010	         0.714240	         1.607400	         1.178700	         1.050800	         1.552600	         1.383400	         1.561600	         0.796660	         1.803800	         0.825480	
            40.90	         0.132490	         0.514030	         0.680990	         0.778320	         0.705960	         1.584000	         1.165800	         1.037700	         1.535100	         1.365800	         1.542100	         0.786270	         1.782900	         0.814530	
            41.00	         0.131330	         0.503410	         0.673810	         0.764630	         0.697740	         1.560500	         1.152900	         1.024800	         1.517700	         1.348400	         1.522500	         0.775960	         1.761900	         0.803670	
            41.10	         0.130180	         0.492830	         0.666680	         0.750940	         0.689570	         1.537100	         1.140200	         1.011900	         1.500400	         1.331000	         1.502900	         0.765750	         1.740800	         0.792910	
            41.20	         0.129030	         0.482300	         0.659590	         0.737270	         0.681470	         1.513600	         1.127600	         0.999110	         1.483300	         1.313900	         1.483200	         0.755620	         1.719700	         0.782250	
            41.30	         0.127890	         0.471810	         0.652550	         0.723620	         0.673420	         1.490000	         1.115000	         0.986430	         1.466300	         1.296800	         1.463400	         0.745580	         1.698500	         0.771680	
            41.40	         0.126750	         0.461380	         0.645560	         0.710000	         0.665440	         1.466500	         1.102600	         0.973860	         1.449400	         1.279900	         1.443700	         0.735620	         1.677200	         0.761210	
            41.50	         0.125620	         0.451010	         0.638610	         0.696410	         0.657520	         1.443000	         1.090200	         0.961400	         1.432700	         1.263200	         1.423900	         0.725760	         1.655900	         0.750840	
            41.60	         0.124500	         0.440690	         0.631720	         0.682850	         0.649660	         1.419500	         1.077900	         0.949040	         1.416100	         1.246600	         1.404000	         0.715990	         1.634500	         0.740570	
            41.70	         0.123390	         0.430450	         0.624880	         0.669330	         0.641860	         1.395900	         1.065700	         0.936800	         1.399600	         1.230100	         1.384200	         0.706320	         1.613100	         0.730400	
            41.80	         0.122280	         0.420270	         0.618090	         0.655860	         0.634130	         1.372500	         1.053700	         0.924660	         1.383300	         1.213900	         1.364300	         0.696730	         1.591700	         0.720320	
            41.90	         0.121180	         0.410170	         0.611350	         0.642450	         0.626460	         1.349000	         1.041700	         0.912630	         1.367000	         1.197700	         1.344500	         0.687240	         1.570300	         0.710350	
            42.00	         0.120080	         0.400160	         0.604660	         0.629090	         0.618860	         1.325700	         1.029800	         0.900710	         1.351000	         1.181700	         1.324700	         0.677840	         1.548900	         0.700480	
            42.10	         0.119000	         0.390220	         0.598020	         0.615800	         0.611320	         1.302300	         1.018000	         0.888910	         1.335000	         1.165900	         1.304800	         0.668530	         1.527500	         0.690720	
            42.20	         0.117920	         0.380380	         0.591440	         0.602570	         0.603850	         1.279100	         1.006300	         0.877210	         1.319200	         1.150200	         1.285000	         0.659320	         1.506000	         0.681050	
            42.30	         0.116850	         0.370630	         0.584920	         0.589430	         0.596450	         1.255900	         0.994700	         0.865630	         1.303600	         1.134700	         1.265200	         0.650210	         1.484600	         0.671490	
            42.40	         0.115780	         0.360970	         0.578440	         0.576360	         0.589120	         1.232700	         0.983200	         0.854170	         1.288000	         1.119300	         1.245500	         0.641190	         1.463300	         0.662030	
            42.50	         0.114730	         0.351420	         0.572030	         0.563370	         0.581850	         1.209700	         0.971810	         0.842820	         1.272600	         1.104100	         1.225800	         0.632260	         1.441900	         0.652680	
            42.60	         0.113680	         0.341980	         0.565660	         0.550480	         0.574650	         1.186800	         0.960520	         0.831580	         1.257400	         1.089100	         1.206100	         0.623430	         1.420600	         0.643430	
            42.70	         0.112640	         0.332640	         0.559360	         0.537670	         0.567520	         1.164000	         0.949340	         0.820460	         1.242300	         1.074200	         1.186500	         0.614700	         1.399300	         0.634280	
            42.80	         0.111600	         0.323420	         0.553110	         0.524970	         0.560470	         1.141200	         0.938250	         0.809460	         1.227300	         1.059400	         1.167000	         0.606070	         1.378100	         0.625240	
            42.90	         0.110580	         0.314310	         0.546920	         0.512370	         0.553480	         1.118600	         0.927270	         0.798570	         1.212500	         1.044900	         1.147500	         0.597530	         1.356900	         0.616300	
            43.00	         0.109560	         0.305320	         0.540790	         0.499890	         0.546560	         1.096200	         0.916390	         0.787800	         1.197900	         1.030500	         1.128100	         0.589090	         1.335800	         0.607470	
            43.10	         0.108560	         0.296460	         0.534710	         0.487510	         0.539710	         1.073900	         0.905620	         0.777150	         1.183300	         1.016200	         1.108800	         0.580750	         1.314700	         0.598740	
            43.20	         0.107560	         0.287730	         0.528690	         0.475250	         0.532940	         1.051700	         0.894960	         0.766620	         1.168900	         1.002100	         1.089500	         0.572510	         1.293800	         0.590120	
            43.30	         0.106560	         0.279130	         0.522730	         0.463120	         0.526230	         1.029600	         0.884400	         0.756200	         1.154700	         0.988210	         1.070400	         0.564370	         1.272900	         0.581610	
            43.40	         0.105580	         0.270660	         0.516830	         0.451110	         0.519600	         1.007800	         0.873940	         0.745910	         1.140600	         0.974450	         1.051300	         0.556320	         1.252100	         0.573200	
            43.50	         0.104610	         0.262330	         0.510990	         0.439230	         0.513040	         0.986070	         0.863590	         0.735730	         1.126700	         0.960860	         1.032400	         0.548370	         1.231400	         0.564900	
            43.60	         0.103640	         0.254140	         0.505210	         0.427480	         0.506550	         0.964530	         0.853350	         0.725680	         1.112900	         0.947430	         1.013600	         0.540520	         1.210800	         0.556700	
            43.70	         0.102680	         0.246100	         0.499490	         0.415870	         0.500140	         0.943180	         0.843220	         0.715750	         1.099200	         0.934160	         0.994830	         0.532770	         1.190300	         0.548610	
            43.80	         0.101740	         0.238200	         0.493830	         0.404410	         0.493800	         0.922010	         0.833190	         0.705930	         1.085700	         0.921060	         0.976230	         0.525120	         1.169900	         0.540620	
            43.90	         0.100800	         0.230460	         0.488230	         0.393090	         0.487530	         0.901030	         0.823270	         0.696240	         1.072400	         0.908120	         0.957750	         0.517570	         1.149600	         0.532740	
            44.00	         0.099865	         0.222870	         0.482690	         0.381930	         0.481330	         0.880260	         0.813460	         0.686660	         1.059200	         0.895350	         0.939400	         0.510120	         1.129500	         0.524970	
            44.10	         0.098943	         0.215430	         0.477210	         0.370910	         0.475210	         0.859680	         0.803760	         0.677210	         1.046100	         0.882740	         0.921180	         0.502770	         1.109400	         0.517300	
            44.20	         0.098030	         0.208150	         0.471790	         0.360060	         0.469170	         0.839320	         0.794160	         0.667880	         1.033200	         0.870300	         0.903110	         0.495510	         1.089600	         0.509740	
            44.30	         0.097126	         0.201040	         0.466430	         0.349360	         0.463190	         0.819170	         0.784680	         0.658670	         1.020500	         0.858020	         0.885180	         0.488360	         1.069800	         0.502290	
            44.40	         0.096231	         0.194080	         0.461140	         0.338830	         0.457290	         0.799250	         0.775300	         0.649580	         1.007900	         0.845910	         0.867400	         0.481300	         1.050200	         0.494940	
            44.50	         0.095345	         0.187300	         0.455900	         0.328470	         0.451460	         0.779560	         0.766030	         0.640610	         0.995410	         0.833960	         0.849780	         0.474340	         1.030800	         0.487690	
            44.60	         0.094468	         0.180680	         0.450730	         0.318270	         0.445710	         0.760100	         0.756870	         0.631770	         0.983100	         0.822180	         0.832310	         0.467480	         1.011400	         0.480550	
            44.70	         0.093600	         0.174240	         0.445620	         0.308250	         0.440030	         0.740870	         0.747820	         0.623040	         0.970940	         0.810560	         0.815010	         0.460720	         0.992300	         0.473520	
            44.80	         0.092741	         0.167960	         0.440570	         0.298410	         0.434430	         0.721900	         0.738880	         0.614440	         0.958930	         0.799110	         0.797880	         0.454060	         0.973320	         0.466590	
            44.90	         0.091891	         0.161870	         0.435580	         0.288740	         0.428900	         0.703170	         0.730040	         0.605950	         0.947070	         0.787820	         0.780920	         0.447500	         0.954510	         0.459770	
