 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> June 15, 2018 
 ==================================================================

 Disk File Name = SRIM Outputs\208Pb_in_CD2.txt

 Ion = Lead [82] , Mass = 207.977 amu

 Target Density =  9.1300E-01 g/cm3 = 1.0284E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    066.67    014.37   
      C      6    033.33    085.63   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   9.00 MeV   1.917E+03  5.967E+02    3.66 um     1967 A      1921 A   
  10.00 MeV   1.960E+03  5.612E+02    4.06 um     2127 A      2077 A   
  11.00 MeV   2.002E+03  5.302E+02    4.45 um     2277 A      2228 A   
  12.00 MeV   2.046E+03  5.030E+02    4.84 um     2416 A      2374 A   
  13.00 MeV   2.093E+03  4.788E+02    5.23 um     2547 A      2515 A   
  14.00 MeV   2.142E+03  4.572E+02    5.62 um     2670 A      2651 A   
  15.00 MeV   2.195E+03  4.376E+02    6.00 um     2785 A      2782 A   
  16.00 MeV   2.252E+03  4.200E+02    6.37 um     2894 A      2909 A   
  17.00 MeV   2.312E+03  4.038E+02    6.74 um     2997 A      3030 A   
  18.00 MeV   2.375E+03  3.891E+02    7.11 um     3093 A      3147 A   
  20.00 MeV   2.513E+03  3.629E+02    7.81 um     3344 A      3367 A   
  22.50 MeV   2.703E+03  3.354E+02    8.66 um     3650 A      3616 A   
  25.00 MeV   2.909E+03  3.122E+02    9.45 um     3905 A      3840 A   
  27.50 MeV   3.128E+03  2.924E+02   10.20 um     4120 A      4040 A   
  30.00 MeV   3.356E+03  2.752E+02   10.91 um     4303 A      4219 A   
